问题,回答,医生信息,医院信息
"患者咨询
失恋后失眠怎么办？",建议患者做心理咨询，如果多种因素引起的这些症状，考虑患者目前处在一个焦虑抑郁状态。可以使用劳拉西泮改善患者的睡眠。中药方面可以考虑安神补脑液或甜梦口服液。心情不好时可以找高医生倾诉，希望患者尽快恢复过来。,高学正主治医师,"无锡市精神卫生中心
三甲"
失恋失眠睡不着怎么办？,首先要调整好自己的心态，不要胡思乱想，既然失恋了，那么要就要整理一下自己的情绪。平复一下自己的心情。坚持每天晨起慢跑，锻炼20分钟。增强体质。分散自己的注意力。,郑志君副主任医师,"朝阳市中心医院
三甲"
失恋导致失眠怎么办,"很多人在谈恋爱刚分手后就会感觉难过和各种心理上的不适应，常常导致失眠，不容易睡着，那么失恋导致失眠应该怎么办呢，应该怎么正确面对呢？一起来看看吧! 失恋导致失眠怎么办 1、失恋导致失眠怎么办 失恋了失眠怎么办?现在的年轻人似乎总是面对类似的问题。失恋了,心情不好,产生失眠是比较正常的现象,",尹德海主任医师,"北京协和医院
三甲 | 全国第1"
失恋后失眠怎么调整,失恋后出现失眠现象主要是由于精神因素所引起的，可以在睡觉前喝一杯热牛奶，牛奶可以起到促进睡眠的作用。也可以用温水泡脚或洗一个热水澡，可以促进血液循环，有助于睡眠。,黄世昌副主任医师,"北京大学第一医院
三甲 | 全国第12"
失恋抑郁症多久能好,因失恋导致的抑郁症，多久能好，这个真的不好说，这要看自我的调节能力以及治疗的情况，既然失恋了，那就说明你们是不合适的年轻人谈恋爱失恋是一个常见的现象，学会接纳自己的选择，不要再关注前任的任何事情，鼓励自己与周围的人沟通交流，再结交新的朋友，找适合自己的，多培养些兴趣，爱好，时间是良药，慢慢的你会走出来的。,梁龙腾副主任医师,"枣庄市立医院
三甲"
失恋后失眠怎么办,失恋后的失眠是创伤后应激障碍的一种表现。受首先患者可以给自己积极的心理暗示，培养独立坚强的性格。同时可以加大运动量，比如每天抽出固定的时间进行有氧运动和无氧运动。还可以尝试开发兴趣爱好，分散自己的注意力。如果上述方法都不能改善症状，建议患者寻求心理医生的帮助。也可以服用佐匹克隆或者右佐匹克隆或者阿普唑仑等来帮助睡眠。,王兴邦主治医师,"山东大学齐鲁医院
三甲 | 全国第24"
失恋失眠睡不着怎么办？,失恋失眠睡不着，是因为心理因素引起的。建议：你要调整自己的心态，失恋并不是什么大事，可以多与朋友交流，多做一些户外运动，增加疲惫感，有利于晚上睡觉，必要时可以借助安眠药物。,吴永明副主任医师,"南方医科大学南方医院
三甲 | 全国第18"
失恋导致失眠怎么办,失恋导致的失眠，是因为心理上受伤出现了一种应激反应，建议最好要养成良好的独立性格，失眠导致的睡眠不好，可以适当的调整自己的情绪，要正确面对失恋，可以多跟朋友或者是亲人聊聊天，白天的时候适当的增加一些运动锻炼。,宋忠花副主任医师,"山东省立第三医院
三甲"
因为失恋然后失眠，两个晚上没有睡好觉了,因为失恋失眠了。这种情况是可以理解的。要及时的调整自己的心态，不要胡思乱想。失恋是很正常的，也是人生当中很多人都需要经历的。失恋了，说明你们没有缘分。你可以开始下一段的感情。要学会忘记，学会接纳自己。,孙连庆主任医师,"西安交通大学第一附属医院
三甲 | 全国第63"
失恋失眠怎么办,您好，改善失眠的方法有：1、放松法：在躺下后用意念引导，从头发、眉毛、眼皮、面部、肩部一直想到脚趾，依次逐步放松；正常呼吸，吸气时想部位，呼气时放松；要做到心平气和；2、调整思维方法，一切顺其自然，保持心态平和最重要；3、坚持每天晨起慢跑锻炼20分钟，增强体质；4、睡前洗个热水澡或泡脚半小时，听轻松愉快的音乐；有助于改善失眠症状；5、按摩法：经常用右手心搓左脚掌心；左手心搓右脚掌心；6、多吃些有助睡眠的食物，如牛奶、苹果、大枣、莲子、百合、桂圆、葡萄、小米等。7、养成较规律的生活习惯；治疗失眠的方法就是这么简单，贵在坚持。现在失恋的人有那么多，多自己一个也不算多，我们要想开点，没有什么过不了的坎。感谢对我的信任，希望可以帮到你，祝你健康！,龚新宇副主任医师,"中日友好医院
三甲 | 全国第43"
失恋失眠睡不着怎么办？,失恋失眠睡不着，是因为心理因素引起的。建议：你要调整自己的心态，失恋并不是什么大事，可以多与朋友交流，多做一些户外运动，增加疲惫感，有利于晚上睡觉，必要时可以借助安眠药物。,吴永明副主任医师,"南方医科大学南方医院
三甲"
失恋导致失眠怎么办,失恋导致的失眠，主要是由于思想负担过重，精神受到较大的打击，睡眠时间不足等因素导致的。首先患者要学会释放压力，调整自己的心态，换一种思维方式把自己从困境中解脱出来。每天坚持半小时左右的户外活动，有助于促进睡眠缓解失眠症状。其次，如果失眠症状比较严重，建议患者适当服用营养神经的药物，例如谷维素或者B族维生素等。,赵文霞副主任医师,"吉林市人民医院
三甲"
失恋睡不着怎么办,失恋睡不着的解决办法有很多，比如加强锻炼、分散注意力、心理疏导等。\n1、坚持每天晨起慢跑锻炼20分钟，增强体质；2、调整思维方法，一切顺其自然，保持心态平和最重要；3、睡前洗个热水澡或泡脚半小时，听轻松愉快的音乐;成较规律的生活习惯4、按摩法：经常用右手心搓左脚掌心;左手心搓右脚掌心；5、多吃些有助睡眠的食物，如牛奶、大枣、莲子、百合。失恋是许多人一生中必然要经历的事情，因此希望你能及时的调整好心态，积极的面对以后的感情生活。\n失恋之后，如果失眠情况严重，建议去正规的医院，进行详细的检查，由医生指导、用药并得到正确的治疗，自己最好不要乱用药。,刘毅君副主任医师,"湖南省脑科医院
三甲"
失恋失眠一直不知道困,"你好，根据你的这种情况属于神经衰弱，心情不好，精神紧张和生活压力大都是可以引起的，治疗建议口服谷维素，健脑补肾丸和安神胶囊。养成良好的休息习惯,避免劳累,缓解自己的压力,保持愉快的心情.并注意改善睡眠环境有利于减轻大脑兴奋状态医生询问：",王宝枝主任医师,朝阳县医院
失恋失眠了怎么办,失恋失眠了要进行自我调理。应该学会释放压力，也应该逐渐接受这个事实，应该相信明天会更好。也可以和知己聊天，或者适当放松，转移注意力。听一些舒缓的音乐，或者做一些体育锻炼或户外运动，可以暂时缓解这种焦虑，缓解失眠症状。因此，自律非常重要，此外还可以通过洗个热水澡、喝牛奶或暂时服用镇静剂来改善症状。,张保华主任医师,"北京安定医院
三甲"
失恋失眠怎么调整,失恋失眠的调整方法包括以下几点：第一、注意情绪方面的调节，以积极的态度正确的面对失恋，保持良好的心态。第二、饮食方面的调节。平时尽量少吃生冷、辛辣刺激性食物，保持清淡饮食，确保营养均衡，每晚睡前喝杯热牛奶，可以用热水泡泡脚，听听舒缓的音乐，分散注意力，不要刻意的去想让自己烦恼的事情。第三、适当的药物调节，必要的时候可选择调节神经的药物，如谷维素和刺五加片等，促进睡眠。,赵文霞副主任医师,"吉林市人民医院
三甲"
失恋导致的抑郁症应该怎么办才好,如果你失恋导致抑郁症，像这种情况一定多鼓励自己与别人沟通交流，重新结交新的朋友，不要再关注前任的任何消息。找适合自己的。最好能去做个心理疏导和治疗，时间是良药，你慢慢的会走出来的。,常卫利副主任医师,"郑州大学第一附属医院
三甲"
失恋导致的抑郁症治得好吗,首先这种情况当然能够治好的，首先你要认识到精神疾病，其实90%的治疗还在于自己，最终还是要靠自己的力量才能走出这失恋的阴霾。首先你要发展自我，不停的在自己的专业上取得更大的进展，把精力都放在自己的专业水平上，等到你更加优秀了，就会有人来爱你。,王炳乾主治医师,"十堰市中医医院
三甲"
失眠的治疗最好方法,失眠是睡眠障碍的一种表现形式，临床上常见表现为难以入睡、睡眠质量差、易惊醒等。由于存在个体差异，没有“治疗失眠最好的方法”这种说法。一般情况下，治疗失眠的方法有调整睡眠环境、改善睡眠习惯、心理治疗等。具体分析如下：1.调整睡眠环境：保持安静和黑暗的睡眠环境，维持适宜的温度和湿度，保证床铺整洁舒适，有助于提高睡眠质量。2.改善睡眠习惯：每晚睡觉和起床时间要保持一致，避免熬夜和午睡，避免在床上看电视或玩手机等，有助于培养健康的睡眠习惯。3.心理治疗：通过认知行为疗法、催眠疗法、放松疗法等心理治疗方法，有助于改善焦虑、压力等精神因素对睡眠的影响。除以上方法外，还可以采用其他方法，例如按摩、推拿、药物治疗等。如果不适症状严重，建议及时前往医院就诊。同时，要注意保持健康的生活方式，如定时锻炼、饮食均衡、避免熬夜等，有助于提高睡眠质量。,刘晓来主任医师,"沈阳医学院附属第二医院
三甲"
失恋失眠怎么办,你好，出现这种的失眠是由于出现精神的刺激所造成的，在出现这种的失眠的症状之后，也是需要根据情况及时的选择进行药物的调理，通过使用营养神经、调理失眠的药物进行对症治疗，此外需要注意情绪的平复，在情绪稳定之后，一般上述的这种的失眠的症状也是可以逐渐的恢复的。,刘光伟主任医师,"河南中医药大学第一附属医院
三甲"
"患者咨询
失恋后失眠怎么办？",建议患者做心理咨询，如果多种因素引起的这些症状，考虑患者目前处在一个焦虑抑郁状态。可以使用劳拉西泮改善患者的睡眠。中药方面可以考虑安神补脑液或甜梦口服液。心情不好时可以找高医生倾诉，希望患者尽快恢复过来。,高学正主治医师,"无锡市精神卫生中心
三甲"
